time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,1.5,0.75,0.0,0.0,0.0,0.0
0.02,0.01,1.5,0.75,0.0075,0.015,0.0,0.0
0.03,0.01,1.4925,0.74625,0.015,0.03,1.5E-4,0.0
0.04,0.01,1.485,0.7425,0.0224625,0.044925,4.4999999999825876E-4,1.0221269783971323E-9
0.05,0.01,1.4775375,0.73876875,0.0298875,0.059775,8.992499999330652E-4,8.675647153988824E-9
0.060000000000000005,0.01,1.4701125,0.73505625,0.0372751875,0.074550375,0.0014969999992558163,3.713002128631855E-8
0.07,0.01,1.4627248125,0.73136240625,0.04462575,0.0892515,0.0022425037453987465,1.1296484087770068E-7
0.08,0.01,1.45537425,0.727687125,0.0519393740625,0.103878748125,0.003135018729973403,2.789006727448741E-7
0.09,0.01,1.4480606259375,0.72403031296875,0.0592162453125,0.118432490625,0.004173806162391916,5.974145220790209E-7
0.09999999999999999,0.01,1.4407837546875,0.72039187734375,0.0664565484421875,0.132913096884375,0.0053581309377409535,1.1542435111736209E-6
0.10999999999999999,0.01,1.4335434515578125,0.7167717257789062,0.073660467215625,0.14732093443125,0.006687261596749545,2.0617802398248325E-6
0.11999999999999998,0.01,1.426339532784375,0.7131697663921875,0.08082818447341406,0.1616563689468281,0.008160470275293468,3.462363165667065E-6
0.12999999999999998,0.01,1.419171815526586,0.709585907763293,0.08795988213733594,0.17591976427467187,0.00977703264059955,5.531465218016225E-6
0.13999999999999999,0.01,1.412040117862664,0.706020058931332,0.09505574121496886,0.19011148242993772,0.011536227811058442,8.48078373632266E-6
0.15,0.01,1.4049442587850312,0.7024721293925156,0.10211594180428218,0.20423188360856437,0.013437338256322146,1.2561234703228807E-5
0.16,0.01,1.397884058195718,0.698942029097859,0.10914066309820734,0.2182813261964147,0.015479649674151287,1.8065854121613738E-5
0.17,0.01,1.3908593369017928,0.6954296684508964,0.11613008338918593,0.23226016677837186,0.01766245084028536,2.5332609264011896E-5
0.18000000000000002,0.01,1.3838699166108142,0.6919349583054071,0.12308438007369489,0.24616876014738978,0.019985033427435732,3.4747122400538494E-5
0.19000000000000003,0.01,1.376915619926305,0.6884578099631525,0.13000372965674897,0.26000745931349795,0.022446691789344823,4.674530948706474E-5
0.20000000000000004,0.01,1.369996270343251,0.6849981351716256,0.1368883077563805,0.273776615512761,0.025046722705714373,6.181593616799414E-5
0.21000000000000005,0.01,1.3631116922436195,0.6815558461218097,0.14373828910809675,0.2874765782161935,0.02778442508368023,8.050309331673952E-5
0.22000000000000006,0.01,1.3562617108919033,0.6781308554459516,0.15055384756931484,0.30110769513862967,0.03065909961139956,1.0340859420104527E-4
0.23000000000000007,0.01,1.349446152430685,0.6747230762153426,0.15733515612377436,0.3146703122475487,0.033670048359217886,1.3119429521881172E-4
0.24000000000000007,0.01,1.3426648438762256,0.6713324219381128,0.16408238688592777,0.32816477377185554,0.036816574323797355,1.6458434200225007E-4
0.25000000000000006,0.01,1.3359176131140722,0.6679588065570361,0.1707957111053089,0.3415914222106178,0.04009798091051319,2.0436734253323458E-4
0.26000000000000006,0.01,1.329204288894691,0.6646021444473456,0.17747529917087926,0.3549505983417585,0.043513571349361804,2.513984687498575E-4
0.2700000000000001,0.01,1.3225247008291208,0.6612623504145604,0.18412132061535272,0.36824264123070544,0.04706264803957126,3.0660148795268427E-4
0.2800000000000001,0.01,1.3158786793846473,0.6579393396923237,0.19073394411949832,0.38146788823899663,0.05074451181806182,3.7097072513832957E-4
0.2900000000000001,0.01,1.3092660558805016,0.6546330279402508,0.19731333751642155,0.3946266750328431,0.054558461146870976,4.4557295719703684E-4
0.3000000000000001,0.01,1.3026866624835785,0.6513433312417892,0.20385966779582407,0.40771933559164814,0.05850379121463376,5.315492397092681E-4
0.3100000000000001,0.01,1.296140332204176,0.648070166102088,0.21037310110824195,0.4207462022164839,0.06257979294719396,6.301166668632622E-4
0.3200000000000001,0.01,1.289626898891758,0.644813449445879,0.21685380276926283,0.43370760553852566,0.06678575192241638,7.425700647904781E-4
0.3300000000000001,0.01,1.2831461972307372,0.6415730986153686,0.22330193726372163,0.44660387452744327,0.07112094718427324,8.702836183782261E-4
0.34000000000000014,0.01,1.2766980627362783,0.6383490313681391,0.22971766824987533,0.45943533649975066,0.07558464995128975,0.0010147124313680436
0.35000000000000014,0.01,1.2702823317501246,0.6351411658750623,0.23610115856355673,0.47220231712711347,0.08017612221445514,0.0011773940192839792
0.36000000000000015,0.01,1.2638988414364434,0.6319494207182217,0.24245257022230735,0.4849051404446147,0.08489461521973546,0.0013599497344564163
0.37000000000000016,0.01,1.2575474297776927,0.6287737148888464,0.24877206442948957,0.49754412885897914,0.08973936783036433,0.0015640861221139363
0.38000000000000017,0.01,1.2512279355705105,0.6256139677852552,0.25505980157837804,0.5101196031567561,0.09470960476413719,0.0017915962062075895
0.3900000000000002,0.01,1.244940198421622,0.622470099210811,0.8906737693636333,0.5226318825124612,0.09980453470099461,0.0020443607033084144
0.4000000000000002,0.01,1.2386840587437695,0.30466311531818335,1.5231438685744443,0.5350812844966774,0.10502264556372257,0.0023371532683307
0.4100000000000002,0.01,1.2324593577516614,-0.011571934287222141,1.8378069838926276,0.547468125084115,0.11035694372360975,0.0027572261706769003
0.4200000000000002,0.01,1.2262659374579425,-0.16890349194631382,1.8362350496054056,0.5597927186616316,0.11579433997274799,0.0033950794674223205
0.4300000000000002,0.01,1.2201036406691843,-0.1681175248027028,1.6773315576590917,0.572055378036211,0.12131898274022142,0.004297914490259573
0.4400000000000002,0.01,1.2139723109818945,-0.08866577882954585,1.5192140328563888,0.5842564144429028,0.1269187699364707,0.005467153093256393
0.45000000000000023,0.01,1.2078717927785485,-0.009607016428194393,1.440548254026843,0.5963961375527217,0.13258780794442393,0.006880505082730108
0.46000000000000024,0.01,1.2018019312236392,0.029725872986578472,1.4409412375986486,0.6084748554805072,0.13832348009720644,0.008514793993717294
0.47000000000000025,0.01,1.1957625722597465,0.02952938120067572,1.480667110585227,0.6204928747927435,0.14412246393241093,0.010357604742068663
0.48000000000000026,0.01,1.1897535626036282,0.009666444707386534,1.5201964917859028,0.632450500515341,0.14997894716221327,0.012407664484100646
0.49000000000000027,0.01,1.1837747497423294,-0.010098245892951385,1.5398629364932892,0.6443480361413773,0.1558851550905616,0.014669537926034518
0.5000000000000002,0.01,1.1778259819293113,-0.0199314682466446,1.539764690600338,0.6561857836388005,0.1618328207973916,0.017148189133389734
0.5100000000000002,0.01,1.1719071081805996,-0.01988234530016897,1.5298332223536935,0.6679640434580937,0.1678143528756015,0.019846198077465488
0.5200000000000002,0.01,1.1660179782709532,-0.014916611176846728,1.5199508770535244,0.6796831145398997,0.1738231801262682,0.022763661257513158
0.5300000000000002,0.01,1.1601584427300502,-0.009975438526762193,1.5150342658766778,0.6913432943226092,0.1798534230119587,0.025899436179066884
0.5400000000000003,0.01,1.1543283528386954,-0.0075171329383388885,1.5150588273499157,0.7029448787499097,0.18589934545861697,0.02925240155757549
0.5500000000000003,0.01,1.1485275606250451,-0.007529413674957852,1.517541694411577,0.7144881622782967,0.1919549647444763,0.03282208296083842
0.5600000000000003,0.01,1.1427559188608516,-0.008770847205788468,1.520012280736619,0.7259734378845472,0.19801394588692878,0.036608648808540895
0.5700000000000003,0.01,1.1370132810577265,-0.01000614036830949,1.5212414335308304,0.7374009970731557,0.20406969956700555,0.040612595688511624
0.5800000000000003,0.01,1.1312995014634222,-0.010620716765415206,1.521235293162521,0.748771129883733,0.2101155335179817,0.044834433544904566
0.5900000000000003,0.01,1.1256144350581336,-0.01061764658126052,1.520614576397106,0.7600841248983672,0.21614474937457845,0.049274521004549765
0.6000000000000003,0.01,1.1199579375508164,-0.010307288198552977,1.5199969298158453,0.7713402692489485,0.22215065604265793,0.05393304789473406
0.6100000000000003,0.01,1.1143298653755258,-0.009998464907922666,1.5196896416172925,0.7825398486244567,0.22812652803556027,0.05881008952065337
0.6200000000000003,0.01,1.1087300756877716,-0.009844820808646237,1.51969117670937,0.793683147278212,0.23406555310224508,0.06390566041367489
0.6300000000000003,0.01,1.103158426360894,-0.009845588354684964,1.5198463559007236,0.8047704480350897,0.23996079893761083,0.06921973327429204
0.6400000000000003,0.01,1.0976147759824553,-0.009923177950361795,1.5200007675460385,0.8158020322986986,0.24580520560071117,0.07475222440933853
